frame,NOSE_x,NOSE_y,NOSE_z,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_z,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_z,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_z,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_z,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_z,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_z,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_z,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_z,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_z,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_z,LEFT_GROIN_x,LEFT_GROIN_y,LEFT_GROIN_z,RIGHT_GROIN_x,RIGHT_GROIN_y,RIGHT_GROIN_z,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_z,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_z,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_z,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_z,LEFT_BIG_TOE_x,LEFT_BIG_TOE_y,LEFT_BIG_TOE_z,LEFT_LITTLE_TOE_x,LEFT_LITTLE_TOE_y,LEFT_LITTLE_TOE_z,LEFT_HEEL_x,LEFT_HEEL_y,LEFT_HEEL_z,RIGHT_BIG_TOE_x,RIGHT_BIG_TOE_y,RIGHT_BIG_TOE_z,RIGHT_LITTLE_TOE_x,RIGHT_LITTLE_TOE_y,RIGHT_LITTLE_TOE_z,RIGHT_HEEL_x,RIGHT_HEEL_y,RIGHT_HEEL_z
1,-0.43338498,-0.6399297,0.70679045,-0.43308827,-0.6599759,0.7426392,-0.46389186,-0.6813483,0.68315274,-0.44021106,-0.62589836,0.7690348,-0.5322961,-0.67901754,0.62817425,-0.56435376,-0.42100143,0.7572958,-0.53189206,-0.52980983,0.5306305,-0.6657161,-0.1811905,0.6918304,-0.5729219,-0.39436936,0.446585,-0.43488032,-0.32876524,0.6495102,-0.9798616,-0.086696625,0.40548018,-0.93057865,0.091216534,0.65862304,-0.89293885,0.0039025804,0.5052997,-1.1530405,0.5486998,0.57921684,-1.3869597,0.5580675,0.49835232,-1.5581892,1.1363565,0.49555117,-1.7580942,1.0878361,0.45496568,-1.3650515,1.1029899,0.42047235,-1.3599519,1.1312858,0.49015427,-1.4433774,1.0515599,0.47001165,-1.9721531,1.526988,0.4112412,-1.5610306,1.0687042,0.3113832,-1.5773361,1.0406952,0.5087886
2,-0.39923894,-0.6438395,0.70730287,-0.4033219,-0.6628435,0.7428063,-0.42995012,-0.68616724,0.681882,-0.4152142,-0.6250629,0.76829654,-0.539172,-0.68200034,0.6192136,-0.54007465,-0.42443648,0.75427836,-0.55326664,-0.54403585,0.52289784,-0.6199131,-0.19043356,0.69248986,-0.5339493,-0.41935134,0.44373587,-0.38642964,-0.3428784,0.6480287,-0.5630544,-0.41785342,0.34796885,-0.9140533,0.022367867,0.6299129,-0.9031644,-0.07319045,0.47369832,-0.88749266,0.30588025,0.5398475,-0.93016535,0.19637609,0.42828277,-1.3981111,0.93756056,0.46454304,-1.5845585,0.93487763,0.3994668,-1.2023323,0.9051623,0.39985222,-1.2672895,0.9691453,0.4626567,-1.379138,0.93615216,0.44518614,-1.467869,1.0181942,0.30424842,-1.503532,0.9812932,0.27138203,-1.6001248,0.99412346,0.43691075
3,-0.3620173,-0.6448788,0.704588,-0.3655633,-0.6653558,0.7387209,-0.39307487,-0.6887447,0.6807135,-0.38600072,-0.62970996,0.7687594,-0.52394915,-0.68810433,0.61994,-0.51273257,-0.42398483,0.75510913,-0.56974185,-0.550181,0.51692444,-0.56149334,-0.19670537,0.69724375,-0.6287412,-0.40279475,0.4289779,-0.33506295,-0.35017547,0.64906514,-0.8688405,-0.20927268,0.33741465,-0.89783716,-0.0052052,0.61779106,-0.9384344,-0.0964722,0.45573243,-0.7676874,0.28430462,0.5545213,-0.79380256,0.15547112,0.42609668,-1.1974704,0.7152803,0.4357409,-1.2401651,0.6510409,0.35190952,-1.0983324,0.7739829,0.3926141,-1.1434343,0.7941585,0.44261518,-1.1831815,0.67684,0.40953067,-1.1814061,0.74567443,0.26574963,-1.2191892,0.7206987,0.23618679,-1.2457659,0.68849164,0.3774212
4,-0.32924637,-0.64751726,0.70347023,-0.33665282,-0.66902393,0.73894215,-0.36143106,-0.6906704,0.67889506,-0.3529995,-0.63052094,0.76625925,-0.47973824,-0.6887312,0.618301,-0.46494654,-0.4230122,0.75777906,-0.5232196,-0.54612565,0.5212418,-0.5139219,-0.19141644,0.7043812,-0.5622832,-0.40308914,0.44045666,-0.29020464,-0.36258557,0.64841497,-0.6334175,-0.29811987,0.33959287,-0.84241796,-0.007298632,0.62364286,-0.83955485,-0.099795274,0.46647066,-0.7029199,0.27293628,0.5590249,-0.6893522,0.15296681,0.4298463,-0.8747703,0.43616357,0.44648468,-1.234736,0.7113525,0.3535183,-1.1671045,0.9068922,0.40705505,-1.2320355,0.9413726,0.4570336,-1.3220046,0.9186719,0.4567221,-1.2075605,0.8186193,0.27346587,-1.2411968,0.7971394,0.24177551,-1.3510664,0.84817046,0.3816859
5,-0.2918882,-0.6512978,0.70230997,-0.29616854,-0.67056906,0.73721653,-0.32568705,-0.6933813,0.6778269,-0.31620178,-0.63345206,0.76631963,-0.47449192,-0.6864105,0.61362123,-0.4298462,-0.42954656,0.7573511,-0.5299606,-0.55753595,0.51874995,-0.46822616,-0.1939395,0.7082538,-0.6050277,-0.40193662,0.4326738,-0.23732309,-0.36717317,0.64653987,-0.71097714,-0.29982078,0.33521006,-0.8557756,-0.01975704,0.6173316,-0.8900457,-0.108507015,0.45346525,-0.6357772,0.25668457,0.5626354,-0.67648935,0.13979357,0.43336284,-0.92656684,0.42186502,0.44237483,-0.914371,0.38406998,0.32135633,-0.9732187,0.66778046,0.38978213,-1.0267277,0.6761356,0.43547857,-1.0325226,0.5235723,0.4286032,-0.98057824,0.596857,0.27232742,-1.0986918,0.65326405,0.22989535,-1.074583,0.5787955,0.3417626
6,-0.26031542,-0.6525994,0.7026223,-0.26485234,-0.6716435,0.737533,-0.29039705,-0.69341326,0.6779516,-0.28493556,-0.63165027,0.76433706,-0.4340568,-0.6906623,0.61314595,-0.3865755,-0.4361795,0.7569991,-0.47926646,-0.5603959,0.51870304,-0.40267462,-0.20805779,0.7085076,-0.5120301,-0.43074903,0.42887455,-0.195407,-0.3737044,0.64538777,-0.672197,-0.25444043,0.34559092,-0.79894334,-0.012242421,0.6298404,-0.80027276,-0.10954509,0.46709204,-0.5933224,0.25274274,0.5659454,-0.6392769,0.13831848,0.43105122,-0.9288645,0.44582668,0.447657,-0.8974745,0.42057696,0.31922695,-0.93735355,0.6839105,0.40073404,-0.8852049,0.5610641,0.4419766,-0.93328226,0.43753242,0.44200668,-1.4607309,1.0815481,0.2948839,-1.4620326,1.0616455,0.25980446,-0.8573458,0.44851425,0.34304664
7,-0.22655192,-0.6551796,0.70095533,-0.2314511,-0.67423755,0.73611015,-0.26098582,-0.6960872,0.67679507,-0.25713912,-0.6370607,0.76434374,-0.4082497,-0.6941026,0.6102706,-0.35543603,-0.43597475,0.7608909,-0.48227498,-0.5702438,0.51290005,-0.34464493,-0.20956637,0.7142651,-0.47612876,-0.45368204,0.42245987,-0.15576242,-0.37503582,0.6455765,-0.6390956,-0.29346016,0.3194719,-0.77376807,-0.019403657,0.6320771,-0.7900124,-0.117456466,0.46794158,-0.5314255,0.23392756,0.56407046,-0.57405716,0.12343496,0.4443005,-0.9466868,0.47647595,0.44493565,-0.9489378,0.468828,0.3063799,-0.94788486,0.66199124,0.39488235,-0.9743923,0.66383743,0.43782225,-0.94378424,0.44402185,0.43437725,-0.9270866,0.60570943,0.2777519,-0.97758687,0.5748052,0.22458057,-0.9661082,0.5104631,0.31668663
8,-0.19106512,-0.65511715,0.7015657,-0.19604313,-0.67402536,0.73635215,-0.22454454,-0.6985972,0.67601633,-0.2079137,-0.6374264,0.7630793,-0.37457797,-0.6970235,0.6097533,-0.31307384,-0.4380446,0.7606006,-0.46517763,-0.5768582,0.5149758,-0.29207602,-0.21398073,0.7202101,-0.4313044,-0.48893985,0.43224752,-0.107650705,-0.37709218,0.64332026,-0.5535093,-0.31048054,0.33004993,-0.7270045,-0.025500493,0.6312705,-0.7461873,-0.121484354,0.47081044,-0.49365667,0.22822805,0.5631072,-0.44958234,0.11187095,0.44564858,-0.92330307,0.48536187,0.4653638,-0.85986155,0.43667665,0.30219752,-0.89267,0.65428954,0.4104355,-0.92696655,0.65898955,0.4525838,-0.9370764,0.46756607,0.45860997,-0.84713113,0.60037327,0.28295743,-0.8970257,0.5647679,0.23147959,-0.8883788,0.45774537,0.312448
9,-0.15776366,-0.65778464,0.70113945,-0.1592566,-0.6771821,0.73475283,-0.18862177,-0.7012166,0.6758031,-0.17491382,-0.6397608,0.76367927,-0.34281358,-0.6973433,0.6099854,-0.2727391,-0.4429364,0.75794846,-0.4509697,-0.57925785,0.5150026,-0.23044841,-0.21384846,0.72635895,-0.44983456,-0.4572583,0.4250923,-0.064180434,-0.37804785,0.6419532,-0.57859004,-0.3208875,0.31416094,-0.6913177,-0.029700004,0.63336056,-0.7236717,-0.12837602,0.4659956,-0.4630786,0.22103642,0.5641502,-0.37550873,0.09879222,0.4447464,-0.9293104,0.5370863,0.48798996,-0.82277024,0.45925185,0.3010511,-0.8197342,0.6690065,0.42985213,-0.8633138,0.6766392,0.47208202,-1.018666,0.5641005,0.48348296,-0.7695076,0.6187973,0.30397636,-0.8158824,0.5845676,0.2444092,-0.8839173,0.50101054,0.30099872
10,-0.12755181,-0.65794235,0.70023865,-0.12910676,-0.6783123,0.7342879,-0.15834776,-0.7015283,0.6746877,-0.1381473,-0.6424508,0.76469356,-0.30778146,-0.69983107,0.60942405,-0.22919798,-0.44638327,0.75797844,-0.43317547,-0.57970166,0.5105554,-0.1918909,-0.21023571,0.73304784,-0.47064364,-0.45563653,0.42154098,-0.025900658,-0.36744648,0.6435649,-0.5566736,-0.31690007,0.31972563,-0.63956934,-0.03598926,0.63398856,-0.69869906,-0.12786615,0.46564725,-0.42598432,0.2140015,0.5723134,-0.32109898,0.08847726,0.45560884,-0.92266524,0.5362402,0.50292903,-0.7876757,0.48295975,0.296447,-0.767971,0.67551583,0.45599622,-0.8160481,0.6805391,0.5013037,-1.0057217,0.5519555,0.4906381,-0.6792496,0.6257879,0.30543512,-0.74263215,0.59462935,0.24546586,-0.8582798,0.5246111,0.29186228
