Unnamed: 0,nose_x,nose_y,throad_x,throad_y,left_front_elbow_x,left_front_elbow_y,right_front_elbow_x,right_front_elbow_y,left_back_elbow_x,left_back_elbow_y,right_back_elbow_x,right_back_elbow_y,left_front_knee_x,left_front_knee_y,right_front_knee_x,right_front_knee_y,left_back_knee_x,left_back_knee_y,right_back_knee_x,right_back_knee_y,left_front_paw_x,left_front_paw_y,right_front_paw_x,right_front_paw_y,left_back_paw_x,left_back_paw_y,right_back_paw_x,right_back_paw_y,label
31:45.7,724,117,910,148,1057,349,1019,365,1383,365,1259,403,1050,535,1011,465,1305,489,1251,419,1034,651,980,489,1243,574,1166,504,0
31:45.7,724,117,910,148,1057,349,1019,365,1383,365,1259,403,1050,535,1011,465,1305,489,1251,419,1034,651,980,489,1243,574,1166,504,0
31:45.7,724,117,910,148,1057,349,1019,365,1383,365,1259,403,1050,535,1011,465,1305,489,1251,419,1034,651,980,489,1243,574,1166,504,0
31:45.7,724,117,910,148,1057,349,1019,365,1383,365,1259,403,1050,535,1011,465,1305,489,1251,419,1034,651,980,489,1243,574,1166,504,0
31:45.7,724,117,910,148,1057,349,1019,365,1383,365,1259,403,1050,535,1011,465,1305,489,1251,419,1034,651,980,489,1243,574,1166,504,0
31:45.7,724,117,910,148,1057,349,1019,365,1383,365,1259,403,1050,535,1011,465,1305,489,1251,419,1034,651,980,489,1243,574,1166,504,0
31:45.7,724,117,910,148,1057,349,1019,365,1383,365,1259,403,1050,535,1011,465,1305,489,1251,419,1034,651,980,489,1243,574,1166,504,0
31:45.7,724,117,910,148,1057,349,1019,365,1383,365,1259,403,1050,535,1011,465,1305,489,1251,419,1034,651,980,489,1243,574,1166,504,0
31:45.7,724,117,910,148,1057,349,1019,365,1383,365,1259,403,1050,535,1011,465,1305,489,1251,419,1034,651,980,489,1243,574,1166,504,0
36:33.7,607,40,814,40,910,173,910,195,1236,232,1214,247,910,299,903,292,1229,344,1199,321,896,388,888,373,1177,432,1140,410,0
36:34.1,608,39,815,39,905,173,905,195,1239,232,1239,240,912,299,897,292,1231,336,1201,329,897,381,882,373,1172,433,1142,411,0
36:34.6,609,32,809,32,905,173,905,195,1239,232,1231,240,913,299,898,292,1231,336,1209,329,898,380,890,366,1179,432,1142,410,0
36:35.1,609,31,811,39,908,173,901,196,1237,233,1215,241,908,301,901,293,1230,345,1200,323,893,383,886,368,1170,435,1140,398,0
36:35.6,601,34,815,42,911,174,903,196,1235,226,1227,233,911,300,903,292,1235,336,1198,329,896,388,881,373,1169,432,1139,410,0
36:36.1,609,31,810,39,907,173,907,195,1243,233,1243,240,907,300,907,292,1228,337,1206,322,892,389,892,375,1168,427,1146,404,0
36:36.5,608,33,816,40,905,174,897,189,1238,233,1224,240,912,300,897,292,1231,337,1201,322,897,381,890,374,1172,433,1142,411,0
36:37.0,602,34,816,41,905,167,905,189,1238,233,1215,241,912,300,897,292,1230,344,1201,329,897,381,890,374,1171,433,1134,403,0
36:37.5,607,26,814,33,910,174,902,203,1235,233,1235,233,910,307,902,292,1227,336,1198,321,895,388,895,373,1168,432,1139,410,0
36:38.0,609,26,807,34,910,173,903,196,1234,232,1234,232,910,299,903,291,1227,343,1198,321,896,387,881,380,1168,431,1139,409,0
36:38.5,670,12,807,20,912,160,900,195,1232,236,1215,248,912,294,906,288,1221,335,1197,323,894,376,888,370,1162,428,1139,393,0
36:38.9,659,8,804,23,917,153,893,177,1237,236,1208,242,905,295,911,289,1219,337,1196,319,893,378,905,372,1160,420,1136,396,0
